geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_vgPc_change
CG13694	8.7042177677913	-7.42279252716259	1.70752606780762	-4.34710348913916	1.37947141355671e-05	9.07688921230709e-05	depleted in absence of Pc and vg
CG4822	208.666182041218	-1.76051314179964	0.305755634042223	-5.7579090809379	8.51621997838258e-09	1.06280511572916e-07	depleted in absence of Pc and vg
Gs1	655.41018367607	-2.4362197868372	0.501156288885363	-4.86119767598981	1.16677668550084e-06	9.72927075514849e-06	depleted in absence of Pc and vg
CG31974	5.86041687811931	-2.99727248719527	1.20132792189481	-2.49496613919352	0.0125969150287226	0.0344700505602419	depleted in absence of Pc and vg
CG4213	30.4668697484376	-2.48990480357517	0.61773688573348	-4.03068824458934	5.56137678647577e-05	0.000317258407639375	depleted in absence of Pc and vg
CG13692	44.3526164678706	3.39622473477342	0.587901102185555	5.77686403741677	7.6105735197933e-09	9.60575455503911e-08	enriched in absence of Pc and vg
BBS8	46.8515199772066	2.25201912931785	0.436286718309323	5.16178704234857	2.44603462785083e-07	2.34006086232034e-06	enriched in absence of Pc and vg
CG4297	43.7058368140507	-1.28365946425911	0.329413192725999	-3.89680648074966	9.74694403111232e-05	0.00052148028590349	depleted in absence of Pc and vg
Ets21C	124.246409478826	4.88232924536423	0.398335107527535	12.2568389105064	1.54406500375798e-34	2.90676779605761e-32	enriched in absence of Pc and vg
CG11835	22.4928518858303	-1.88903178278086	0.457562153281233	-4.12847034929439	3.65184519463717e-05	0.000217952953126465	depleted in absence of Pc and vg
Pph13	26.1865290276685	1.83352832443758	0.49266088248432	3.72168440731834	0.000197898263614203	0.000976479792964441	enriched in absence of Pc and vg
CG13947	52.8863687751422	-7.58304959045758	1.70735727046757	-4.44139590560382	8.93771805656895e-06	6.15063410497592e-05	depleted in absence of Pc and vg
Pkg21D	38.5979225821507	-1.84632928765234	0.588516487221102	-3.1372600899772	0.00170534774326834	0.00633276408708843	depleted in absence of Pc and vg
CG13949	3.56340983530554	-3.5310719923181	1.30569726961838	-2.7043573380146	0.0068436649424319	0.0206219713824176	depleted in absence of Pc and vg
CG13950	4.17073682518626	-5.23960050598593	1.76333755482232	-2.97141094265068	0.00296434834244457	0.0101777486984642	depleted in absence of Pc and vg
ninaA	8.24486505625445	-2.0943052091786	0.83027388805097	-2.52242692359613	0.0116548163131591	0.0324030149662723	depleted in absence of Pc and vg
Lsp1beta	17105.5215523783	-5.41412618784917	2.02066128076464	-2.6793833481089	0.00737578979413301	0.0219397153838873	depleted in absence of Pc and vg
GluRIIC	14.4591284281256	-2.49528576797407	0.864491585209239	-2.88641996135812	0.00389651840604773	0.0128958968819941	depleted in absence of Pc and vg
CR43767	49.7065813611569	-9.09344811041098	1.21730637482334	-7.47013923403685	8.01100107132693e-14	2.23201410746387e-12	depleted in absence of Pc and vg
CG5080	110.696018655681	-1.01060156262385	0.400839796055617	-2.5212106496622	0.0116951816449741	0.0324827163117597	depleted in absence of Pc and vg
chinmo	1307.85889827667	2.15429755326423	0.327082108692386	6.58641208434394	4.50582152243188e-11	8.24483684508252e-10	enriched in absence of Pc and vg
CG17646	187.548808646792	-1.946266492914	0.258442782421924	-7.53074423156689	5.04519278277493e-14	1.45550535683847e-12	depleted in absence of Pc and vg
CG31664	1.8643132687581	-5.14552909486182	1.68787812775069	-3.04851932746997	0.00229972119156125	0.0082000010512587	depleted in absence of Pc and vg
CG31663	26.8464127590611	-3.41878386141974	0.885127569744202	-3.86247584899853	0.000112243664616743	0.000589730550093741	depleted in absence of Pc and vg
CG15353	2551.5504268678	-4.95233307095481	0.886601188682879	-5.58575054282514	2.32693050636485e-08	2.68940865080066e-07	depleted in absence of Pc and vg
Nplp4	323.314466471865	-4.95508182207698	0.723276380702872	-6.85088294638031	7.33955551508573e-12	1.50129729477085e-10	depleted in absence of Pc and vg
dpr3	12.5635222437814	-1.47198977052496	0.600721147712943	-2.45037115162184	0.0142709028313715	0.0382959453365652	depleted in absence of Pc and vg
CR43751	11.2111857793152	-1.31201308511053	0.557965120035789	-2.35142491528212	0.0187016636321013	0.0477726549120276	depleted in absence of Pc and vg
CG4267	126.432774676224	-1.41037663890658	0.31189468996715	-4.52196425355986	6.12684081751085e-06	4.37063718433481e-05	depleted in absence of Pc and vg
CG31689	64.3430613884138	-2.21921038840761	0.475636869507242	-4.66576611419274	3.07469280144124e-06	2.33588323841367e-05	depleted in absence of Pc and vg
CG9961	8.47650458917168	2.76679423312611	1.00038333249531	2.7657340373962	0.00567948346812446	0.017674985396598	enriched in absence of Pc and vg
Syt1	282.829932345445	-1.55761244563385	0.452216460736557	-3.44439572831306	0.000572337346536631	0.00247834343391125	depleted in absence of Pc and vg
daw	159.690119518998	1.18823249733705	0.380933993591505	3.11926086231949	0.00181305366521778	0.00669245166486337	enriched in absence of Pc and vg
